2023-01-06 04:12:36.841 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:36.848 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:36.856 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:36.863 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:36.871 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:36.878 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:36.886 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:36.894 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:36.902 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:36.910 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:36.917 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:36.926 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:36.939 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:36.947 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:36.955 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:36.962 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:36.970 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:36.977 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:36.985 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:36.992 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.000 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.007 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.014 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.022 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.029 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.037 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.043 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.050 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.056 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.063 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.070 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.076 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.083 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.090 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.096 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.103 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.108 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.114 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.119 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.125 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.131 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.136 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.142 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.147 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.153 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.158 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.164 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.169 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.175 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.180 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.185 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.190 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.196 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.201 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.206 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.211 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.217 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.223 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.228 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.234 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.239 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.244 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.249 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.255 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.260 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.265 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.270 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.275 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.280 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.285 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.290 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.296 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:37.301 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:38.591 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.565 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.578 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.591 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.603 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.616 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.624 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.631 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.639 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.647 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.654 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.662 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.670 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.677 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.685 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.692 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.699 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.706 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.713 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.720 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.727 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.735 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.742 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.749 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.756 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.764 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.771 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.778 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.785 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.792 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.800 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.807 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.815 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.823 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.831 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.839 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.847 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.854 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.863 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.870 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.877 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.885 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.892 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.899 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.907 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.914 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.922 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.929 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.936 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.944 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.951 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.958 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.966 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.973 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.981 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.989 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:29.997 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.004 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.012 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.019 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.028 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.036 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.044 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.051 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.059 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.066 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.074 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.081 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.089 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.096 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.104 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.112 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.120 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.127 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.134 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.142 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.149 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.157 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.164 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.170 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.177 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.183 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.190 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.196 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.202 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.208 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.214 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.221 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.227 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.233 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.239 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:14:30.245 | INFO     | trt_utils:infer:58 - finished inference
